,,T-1,T-4,,T-1,T-4,,T-1,T-4,,T-1,T-4,RMSE(Denton.prop1 &export.q) ,,RMSE(Denton.prop2 & export.q) ,,RMSE(Denton.prop1 & indicator.q) ,,RMSE(Denton.prop2 & indicator.q) ,,RMSE(Denton.prop1 &export.q) ,RMSE(Denton.prop2 & export.q) 
Quarters,Denton.prop1,Denton.prop1,Denton.prop1,Denton.prop2 ,Denton.prop2 ,Denton.prop2 ,export.q,export.q,export.q,indicator.q,indicator.q,indicator.q,T-1,T-4,T-1,T-4,T-1,T-4,T-1,T-4,,
2017q1,8298.645031,-15.77077069,16.22073669,8182.290558,-16.00186459,12.81262039,7938,-12.6540493,3.90052356,3322,-15.3953903,18.50319267,-3.116721397,12.32021313,-3.347815296,8.912096833,-0.375380396,-2.282455975,-0.606474295,-5.690572272,360.645031,244.2905579
2017q2,8257.066044,-0.501033444,1.613192855,8195.749605,0.164489966,0.319896793,8471,6.714537667,4.722462604,3373,1.535219747,5.176177113,-7.215571111,-3.109269749,-6.550047701,-4.402565811,-2.036253191,-3.562984258,-1.370729782,-4.85628032,-213.933956,-275.2503952
2017q3,9775.265977,18.38667542,17.46079488,9804.488447,19.62894085,18.44954553,8921,5.312241766,3.443877551,4145,22.88763712,25.57181375,13.07443366,14.01691733,14.31669908,15.00566798,-4.500961695,-8.111018871,-3.258696272,-7.122268219,854.265977,883.4884466
2017q4,7688.022947,-21.35228888,-21.96843638,7836.471391,-20.07261334,-19.55199093,8689,-2.600605313,-4.39040493,3463,-16.4535585,-11.80440596,-18.75168356,-17.57803145,-17.47200803,-15.161586,-4.898730374,-10.16403042,-3.619054837,-7.747584973,-1000.977053,-852.5286094
2018q1,8778.97742,14.19031239,5.788082117,9145.93038,16.70980374,11.77714009,8549,-1.611232593,7.697152935,4301,24.19867167,29.47019868,15.80154499,-1.909070818,18.32103633,4.079987159,-10.00835928,-23.68211656,-7.488867936,-17.69305858,229.97742,596.9303799
2018q2,8691.873515,-0.992187368,5.26588341,8999.151911,-1.604850054,9.802670227,9137,6.877997427,7.862117814,4570,6.254359451,35.48769641,-7.870184795,-2.596234403,-8.482847481,1.940552413,-7.246546819,-30.221813,-7.859209505,-25.68502619,-445.126485,-137.8480888
2018q3,9721.249236,11.8429671,-0.552585895,9701.723082,7.807082018,-1.048146115,9412,3.009740615,5.503867279,5386,17.85557987,29.93968637,8.833226488,-6.056453175,4.797341403,-6.552013395,-6.012612766,-30.49227226,-10.04849785,-30.98783248,309.249236,289.7230818
2018q4,9012.89983,-7.286608838,17.23299855,8358.194627,-13.84834883,6.657629569,9107,-3.240543986,4.81068017,5128,-4.790196807,48.07969968,-4.046064852,12.42231838,-10.60780484,1.846949399,-2.496412032,-30.84670113,-9.058152022,-41.42207011,-94.10017,-748.8053729
2019q1,8678.958534,-3.705148202,-1.139299957,7202.275028,-13.82977605,-21.251587,9412,3.349072142,10.09474792,4938,-3.705148206,14.81050918,-7.054220344,-11.23404788,-17.17884819,-31.34633492,3.92052E-09,-15.94980914,-10.12462785,-36.06209618,-733.041466,-2209.724972
2019q2,8675.443362,-0.040502233,-0.189028901,6353.46459,-11.78530998,-29.39929615,9107,-3.240543986,-0.32833534,4936,-0.040502228,8.008752735,3.200041753,0.139306439,-8.544765998,-29.07096081,-5.29204E-09,-8.197781636,-11.74480776,-37.40804888,-431.556638,-2753.53541
,,,,,,,,,,,,RMSE(SD),13.92832271,11.82213754,15.18012894,15.97728816,6.434405845,17.63245614,8.327788556,21.22952308,529.2839493,772.7495855
