,,T-1,T-4,,T-1,T-4,,T-1,T-4,,T-1,T-4,RMSE(Denton.additive1 &export.q) ,,RMSE(Denton.additive2 & export.q) ,,RMSE(Denton.additive1 &indicator.q) ,,RMSE(Denton.additive2 & indicator.q) ,,RMSE(Denton.additive1 &export.q) ,RMSE(Denton.additive2 & export.q) 
Quarters,Denton.additive1,Denton.additive1,Denton.additive1,Denton.additive2,Denton.additive2,Denton.additive2,export.q,export.q,export.q,indicator.q,indicator.q,indicator.q,T-1,T-4,T-1,T-4,T-1,T-4,T-1,T-4,Denton.additive1,Denton.additive2
2016q2,8247.315033,6.365720848,10.93744421,8256.534869,5.933320495,11.35033288,8089,5.876963351,13.70536969,3207,14.40088467,6.818106119,0.488757497,-0.412888668,0.056357144,-2.355036816,-8.035163824,4.119338091,-8.467564177,4.532226759,158.315033,167.534869
2016q3,8396.66553,1.810898412,12.86934928,8378.961566,1.482785441,12.11032432,8624,6.613920138,9.706144256,3300.9,2.927970065,18.48169419,-4.803021726,0.759024966,-5.131134697,2.404180061,-1.117071653,-5.612344902,-1.445184624,-6.371369868,-227.33447,-245.038434
2016q4,9043.285464,7.700913317,7.309120114,9011.416842,7.548134348,6.237234238,9088,5.380333952,10.69427527,3926.5,18.95240692,9.033100078,2.320579365,1.071885876,2.167800397,-4.457041036,-11.2514936,-1.723979964,-11.40427257,-2.79586584,-44.714536,-76.583158
2017q1,8425.374836,-6.832811266,8.662160262,8388.536254,-6.912127126,7.62692989,7938,-12.6540493,3.90052356,3322,-15.3953903,18.50319267,5.82123803,1.035230372,5.741922169,3.72640633,8.562579031,-9.841032404,8.48326317,-10.87626278,487.374836,450.536254
2017q2,8401.26065,-0.286209059,1.86661497,8380.240893,-0.098889255,1.498280162,8471,6.714537667,4.722462604,3373,1.535219747,5.176177113,-7.000746725,0.368334808,-6.813426922,-3.224182442,-1.821428806,-3.309562143,-1.634109002,-3.677896951,-69.73935,-90.759107
2017q3,9036.442907,7.560558867,7.619421956,9044.298648,7.924089098,7.940567298,8921,5.312241766,3.443877551,4145,22.88763712,25.57181375,2.248317101,-0.321145341,2.611847332,4.496689747,-15.32707825,-17.95239179,-14.96354802,-17.63124645,115.442907,123.298648
2017q4,8155.921607,-9.744114018,-9.812405685,8205.924205,-9.269645725,-8.938579261,8689,-2.600605313,-4.39040493,3463,-16.4535585,-11.80440596,-7.143508704,-0.873826424,-6.669040412,-4.548174332,6.709444487,1.992000274,7.183912779,2.865826698,-533.078393,-483.075795
2018q1,8733.69675,7.084118397,3.659444476,8847.27905,7.815753948,5.468687052,8549,-1.611232593,7.697152935,4301,24.19867167,29.47019868,8.69535099,-1.809242577,9.426986541,-2.228465883,-17.11455328,-25.8107542,-16.38291772,-24.00151162,184.69675,298.27905
2018q2,8807.528107,0.84536204,4.835791602,8895.471469,0.544714581,6.148159493,9137,6.877997427,7.862117814,4570,6.254359451,35.48769641,-6.032635387,-1.312367891,-6.333282846,-1.713958321,-5.408997411,-30.65190481,-5.70964487,-29.33953692,-329.471893,-241.528531
2018q3,9493.415679,7.787514995,5.056998386,9478.582674,6.555146706,4.801743539,9412,3.009740615,5.503867279,5386,17.85557987,29.93968637,4.77777438,0.255254847,3.545406091,-0.70212374,-10.06806487,-24.88268798,-11.30043316,-25.13794283,81.415679,66.582674
2018q4,9170.359464,-3.402950275,12.43805306,8983.666808,-5.221412135,9.477818507,9107,-3.240543986,4.81068017,5128,-4.790196807,48.07969968,-0.162406289,2.960234553,-1.980868149,4.667138337,1.387246531,-35.64164662,-0.431215329,-38.60188118,63.359464,-123.333192
2019q1,8980.359464,-2.07189261,2.824264696,8556.750941,-4.752133802,-3.283813106,9412,3.349072142,10.09474792,4938,-3.705148206,14.81050918,-5.420964752,6.108077803,-8.101205944,-13.37856103,1.633255596,-11.98624449,-1.046985596,-18.09432229,-431.640536,-855.249059
2019q2,8978.359464,-0.022270823,1.939606152,8317.835075,-2.792132991,-6.49360066,9107,-3.240543986,-0.32833534,4936,-0.040502228,8.008752735,3.218273163,8.433206812,0.448410995,-6.16526532,0.018231404,-6.069146583,-2.751630764,-14.50235339,-128.640536,-789.164925
,,,,,,,,,,,,RMSE(SD),10.36895287,4.43008069,11.43296135,11.79076915,9.671942525,17.90238295,10.56390705,19.64201707,357.8471172,424.4626231
