,,T-1,T-4,,T-1,T-4,,T-1,T-4,,T-1,T-4,RMSE(Den.chol.add1 &export.q) ,,RMSE(Den.chol.add2 & export.q) ,,RMSE(Den.chol.add1 &indicator.q) ,,RMSE(Den.chol.add2 & indicator.q) ,,RMSE(Den.chol.add1 &export.q) ,RMSE(Den.chol.add2 & export.q) 
Quarters,Den.chol.add1,Den.chol.add1,Den.chol.add1,Den.chol.add2,Den.chol.add2,Den.chol.add2,export.q,export.q,export.q,indicator.q,indicator.q,indicator.q,T-1,T-4,T-1,T-4,T-1,T-4,T-1,T-4,Absolute,Absolute
2016q2,8247.313236,6.366206639,10.9373093,8256.189372,5.95981389,11.33396323,8089,5.876963351,13.70536969,3207,14.40088467,6.818106119,0.489243289,-2.768060396,0.082850539,-2.371406468,-8.034678032,4.119203179,-8.441070782,4.515857107,158.313236,167.189372
2016q3,8396.683182,1.811134629,12.87070053,8380.054928,1.500275132,12.16483352,8624,6.613920138,9.706144256,3300.9,2.927970065,18.48169419,-4.802785509,3.16455627,-5.113645006,2.458689267,-1.116835436,-5.610993659,-1.427694933,-6.316860662,-227.316818,-243.945072
2016q4,9043.306711,7.700939942,7.310496131,9012.943816,7.552323862,6.300378348,9088,5.380333952,10.69427527,3926.5,18.95240692,9.033100078,2.320605991,-3.383779143,2.171989911,-4.393896926,-11.25146698,-1.722603947,-11.40008306,-2.73272173,-44.693289,-75.056184
2017q1,8425.383822,-6.832930793,8.662796111,8389.554547,-6.916599967,7.671420599,7938,-12.6540493,3.90052356,3322,-15.3953903,18.50319267,5.821118502,4.762272551,5.737449329,3.770897039,8.562459503,-9.840396555,8.47879033,-10.83177207,487.383822,451.554547
2017q2,8401.261138,-0.286309615,1.866643082,8380.448888,-0.108535667,1.505046825,8471,6.714537667,4.722462604,3373,1.535219747,5.176177113,-7.000847282,-2.855819521,-6.823073334,-3.217415779,-1.821529362,-3.30953403,-1.643755414,-3.671130288,-69.738862,-90.551112
2017q3,9036.438658,7.560502043,7.619145109,9043.83402,7.915866332,7.920939632,8921,5.312241766,3.443877551,4145,22.88763712,25.57181375,2.248260277,4.175267558,2.603624566,4.477062081,-15.32713508,-17.95266864,-14.97177079,-17.65087412,115.438658,122.83402
2017q4,8155.916383,-9.744129389,-9.812675345,8205.162544,-9.273406325,-8.962457644,8689,-2.600605313,-4.39040493,3463,-16.4535585,-11.80440596,-7.143524076,-5.422270415,-6.672801011,-4.572052715,6.709429115,1.991730615,7.18015218,2.841948315,-533.083617,-483.837456
2018q1,8733.694312,7.084157094,3.659304983,8846.632478,7.817882102,5.448178785,8549,-1.611232593,7.697152935,4301,24.19867167,29.47019868,8.695389687,-4.037847953,9.429114695,-2.24897415,-17.11451458,-25.81089369,-16.38078957,-24.02201989,184.694312,297.632478
2018q2,8807.527759,0.845386206,4.835781371,8895.187258,0.548850426,6.142133636,9137,6.877997427,7.862117814,4570,6.254359451,35.48769641,-6.03261122,-3.026336443,-6.329147001,-1.719984178,-5.408973245,-30.65191504,-5.705509026,-29.34556278,-329.472241,-241.812742
2018q3,9493.416723,7.787531107,5.057059338,9478.78446,6.560819745,4.80935894,9412,3.009740615,5.503867279,5386,17.85557987,29.93968637,4.777790492,-0.446807941,3.55107913,-0.694508339,-10.06804876,-24.88262703,-11.29476012,-25.13032743,81.416723,66.78446
2018q4,9170.361206,-3.402942549,12.43814644,8984.395804,-5.215738981,9.496865611,9107,-3.240543986,4.81068017,5128,-4.790196807,48.07969968,-0.162398562,7.627466267,-1.975194995,4.686185441,1.387254258,-35.64155325,-0.425542174,-38.58283407,63.361206,-122.604196
2019q1,8980.361206,-2.071892216,2.824313345,8558.007148,-4.745880138,-3.262544598,9412,3.349072142,10.09474792,4938,-3.705148206,14.81050918,-5.420964358,-7.270434578,-8.094952281,-13.35729252,1.63325599,-11.98619584,-1.040731932,-18.07305378,-431.638794,-853.992852
2019q2,8978.361206,-0.022270819,1.939629958,8319.618492,-2.785562712,-6.470563793,9107,-3.240543986,-0.32833534,4936,-0.040502228,8.008752735,3.218273167,2.267965298,0.454981274,-6.142228453,0.018231409,-6.069122777,-2.745060484,-14.47931653,-128.638794,-787.381508
,,,,,,,,,,,,RMSE,8.747228536,5.776223169,8.757693612,6.251021299,8.562947642,17.11928044,8.578001637,17.75584829,305.6455287,345.505551
