,,T-1,T-4,,T-1,T-4,,T-1,T-4,,T-1,T-4,RMSE(Den.chol.prop1 &export.q) ,,RMSE(Den.chol.prop2 & export.q) ,,RMSE(Den.chol.prop1 &indicator.q) ,,RMSE(Den.chol.prop2 & indicator.q) ,,RMSE(Den.chol.prop1 &export.q) ,RMSE(Den.chol.prop2 & export.q) 
Quarters,Den.chol.prop1,Den.chol.prop1,Den.chol.prop1,Den.chol.prop2,Den.chol.prop2,Den.chol.prop2,export.q,export.q,export.q,indicator.q,indicator.q,indicator.q,T-1,T-4,T-1,T-4,T-1,T-4,T-1,T-4,Absolute,Absolute
2017q2,8257.067671,-0.501202881,1.613327921,8196.168449,0.14909888,0.336219627,8471,6.714537667,4.722462604,3373,1.535219747,5.176177113,-7.215740548,-3.109134683,-6.565438787,-4.386242976,-2.036422628,-3.562849192,-1.386120867,-4.839957485,-213.932329,-274.831551
2017q3,9775.257373,18.38654789,17.46033388,9803.633884,19.61240115,18.41801617,8921,5.312241766,3.443877551,4145,22.88763712,25.57181375,13.07430613,14.01645633,14.30015938,14.97413862,-4.501089224,-8.111479868,-3.27523597,-7.153797574,854.257373,882.633884
2017q4,7688.014158,-21.35230956,-21.96885801,7835.23142,-20.07829431,-19.58791099,8689,-2.600605313,-4.39040493,3463,-16.4535585,-11.80440596,-18.75170425,-17.57845308,-17.47768899,-15.19750606,-4.89875106,-10.16445205,-3.624735803,-7.783505034,-1000.985842,-853.76858
2018q1,8778.972045,14.19037302,5.787816356,9144.5788,16.71102371,11.73773845,8549,-1.611232593,7.697152935,4301,24.19867167,29.47019868,15.80160561,-1.909336579,18.3222563,4.040585516,-10.00829865,-23.68238232,-7.487647966,-17.73246022,229.972045,595.5788
2018q2,8691.872387,-0.992139599,5.265849007,8998.464439,-1.597824943,9.788671316,9137,6.877997427,7.862117814,4570,6.254359451,35.48769641,-7.870137025,-2.596268806,-8.47582237,1.926553503,-7.24649905,-30.22184741,-7.852184394,-25.6990251,-445.127613,-138.535561
2018q3,9721.251671,11.84300963,-0.552473454,9702.124204,7.819776027,-1.035429119,9412,3.009740615,5.503867279,5386,17.85557987,29.93968637,8.833269017,-6.056340733,4.810035412,-6.539296399,-6.012570237,-30.49215982,-10.03580384,-30.97511549,309.251671,290.124204
2018q4,9012.903897,-7.286590225,17.23318547,8359.832557,-13.83502848,6.695413433,9107,-3.240543986,4.81068017,5128,-4.790196807,48.07969968,-4.046046239,12.4225053,-10.5944845,1.884733263,-2.496393418,-30.84651421,-9.044831676,-41.38428625,-94.096103,-747.167443
2019q1,8678.96245,-3.705148205,-1.139194822,7205.061755,-13.81332454,-21.2094738,9412,3.349072142,10.09474792,4938,-3.705148206,14.81050918,-7.054220348,-11.23394275,-17.16239668,-31.30422173,4.6303E-10,-15.94970401,-10.10817633,-36.01998299,-733.03755,-2206.938245
2019q2,8675.447277,-0.040502226,-0.188970906,6357.459183,-11.76398761,-29.3495104,9107,-3.240543986,-0.32833534,4936,-0.040502228,8.008752735,3.20004176,0.139364434,-8.523443622,-29.02117506,1.46066E-09,-8.197723641,-11.72348538,-37.35826313,-431.552723,-2749.540817
,,,,,,,,,,,,RMSE,12.85787483,9.74478235,13.27830162,11.78704297,4.816587982,16.73219648,5.564514407,19.11056682,494.6577944,728.7706004
